StationName,StationCode,TargetLatitude,TargetLongitude
Carpinteria Salt Marsh at Railroad Bridge,CMWCM01,34.40563,-119.54296
Carquinez Bridge  South,4-349,38.053528,-122.226153
Carr Lake Urban Catchment Site (Residential),CL-3000-000,36.68526,-121.62279
Cascade Creek above Hwy 89,634CASB10,38.94951,-120.08453
"Caspar Headlands-Caspar Headlands SB, Mendocino",Caspar Headlands,39.3606,-123.818
Castro Valley Creek above confluence with Chabot Creek,204CVY080,37.68269,-122.07931
Castro Valley Creek above confluence with Chabot Creek-CVY080,CVY080,37.6818,-122.08061
Castro Valley Creek east side of Redwood Rd,204CVY090,37.68732,-122.07329
Castro Valley Creek north side of Berdina Rd-CVY140,CVY140,37.70136,-122.07028
Castro Valley Creek north side of Heyer Ave,204CVY150,37.70461,-122.06811
Castro Valley Creek north side of Heyer Ave-CVY150,CVY150,37.70446,-122.06913
Castro Valley Creek north side of Seaview Ave,204CVY170,37.71154,-122.06366
Castro Valley Creek south side of Grove Way,204CVY084,37.6841,-122.07564
Castro Valley Creek under Castro Valley Blvd,204CVY125,37.69505,-122.07245
Castroville Slough above the confluence with the Moro Cojo Slough,306-MOROC-34,36.796927,-121.766188
Cataract,201LAG390,37.9325,-122.63555
"CAY13-Cayucos Beach, San Luis Obispo",CAY13,35.4334,-120.888
"CAY14-Cayucos Beach, San Luis Obispo",CAY14,35.4483,-120.906
"CAY15-Cayucos Beach, San Luis Obispo",CAY15,35.4488,-120.907
Cayucos Creek @ Cayucos Creek Rd,310CAY,35.45343998,-120.906077
"CBCW1-Bolsa Chica State Beach, Orange",CBCW1,33.6835,-118.036
"CBOA-Carmel Beach, Monterey",CBOA,36.5545,-121.931
CCID Main Canal @ JT Crow Rd.,541STC522,37.36778,-121.05088
"CDBNC-Doheny State Beach, Orange",CDBNC,33.4615,-117.828
"Cedar Cr, abv Cedarville",641CDR002,41.52993,-120.18924
"Cedar Cr, blw Cedarville",641CDR001,41.53922,-120.17205
Central and 13th Streets in Pacific Grove in Greenwood Park,309-CENTR-31,36.6215588,-121.9142397
Cesar Chavez Park,204PRL020,37.7781,-122.21812
Chabot City Park,204SLE090,37.73139,-122.13206
Chabot Creek at Carlos Bee Park,204CVY020,37.68164,-122.07955
Chabot Creek at Carlos Bee Park-CVY020,CVY020,37.68205,-122.08073
"Chadbourne Gulch-Chadbourne Gulch, Mendocino",Chadbourne Gulch,39.6243,-123.784
Chanac Creek and Pellicer Road,557CHCPLR,35.11172,-118.61493
Chestnut Picnic Area,205STE070,37.3032,-122.07456
"CHICKEN RANCH-Chicken Ranch, Marin",CHICKEN RANCH,38.1091,-122.865
"CHINA CAMP-China Camp, Marin",CHINA CAMP,38.0004,-122.461
Chino Creek at Central Avenue,801MSC7,33.9737,-117.6884
Chino Creek upstream of San Antonio Channel,CHINOCRK,34.01343,-117.73057
Cholame Creek 500m Downstream of Bitterwater Rd.,317CHO2,35.70725,-120.30876
Cholame Creek At Bitterwater Road,317CHO,35.70981498,-120.303836
Chollas Creek North Fork MLS,SD8(1),32.70489,-117.12117
Chollas Creek South Fork MLS,ZST,32.69293,-117.10939
Chollas Creek Tidal Location,CTL(1),32.69129,-117.12352
Chorro Creek @ upper Chorro Creek Ecological Reserve,310UCR,35.33861994,-120.7675154
"Chorro Creek above Ecological Reserve, ~0.3mi above San Luisito Creek",310CER,35.34738,-120.77304
Chorro Creek at Canet Road,310CAN,35.35306,-120.78764
Chorro Creek at South Bay Boulevard,310TWB,35.35422598,-120.826942
Chorro Creek upstream from Chorro Flats,310CCC,35.35746,-120.8121
Chula Vista_CV_C-5_Sweetwater River,CV_C-5,32.62918,-117.09507
Chula Vista_JUD-01_Otay River,CV_JUD-01,33,-117
Chula Vista_JUD-02_Otay River,CV_JUD-02,33,-117
Chula Vista_POG-02_Otay River,CV_POG-02,33,-117
Chula Vista_PRD-02_Sweetwater River,CV_PRD-02,33,-117
Chula Vista_RCC-01_Sweetwater River,CV_RCC-01,33,-117
Chula Vista_RCC-02_Otay River,CV_RCC-02,33,-117
Chula Vista_RCC-03_Otay River,CV_RCC-03,33,-117
Chula Vista_SC-19_Otay River,CV_SC-19,32.65199,-116.9489
Chula Vista_SCR-01_Otay River,CV_SCR-01,33,-117
Chula Vista_SVS-01_Otay River,CV_SVS-01,33,-117
Chula Vista_TCC-04_Sweetwater River,CV_TCC-04,33,-117
Chula_Vista_ORW-9_Otay River,CV_ORW-9,32.59356,-117.01137
Chula_Vista_SR-7_Sweetwater River,CV_SR-7,32.64995,-117.08656
Chula_Vista_SS-2_Sweetwater River,CV_SS-2,32.65924,-116.9775
Chula_Vista_SS-3_Sweetwater River,CV_SS-3,32.65917,-116.97767
Churn Creek at Churn Creek Road,508CRNCCR,40.48081,-122.30678
Cieneguitas Creek at Nogal Drive,GVWCG1,34.43622,-119.77092
Cirby Creek at Elisa Way near I80,531PLA904,38.73064,-121.28123
"City of Santa Monica, Broadway and Harvard Intersection",SM_Broadway_Harvard,34.0334,-118.471
"City of Santa Monica, Broadway and Stanford Intersection",SM_Broadway_Stanford,34.0351,-118.469
"City of Santa Monica, Colorado and Berkeley Intersection",SM_Colorado_Berkeley,34.0345,-118.467
"City of Santa Monica, Colorado and Franklin Intersection",SM_Colorado_Franklin,34.0352,-118.466
"City of Santa Monica, Colorado and Harvard Intersection",SM_Colorado_Harvard,34.0321,-118.469
"City of Santa Monica, Idaho and Amherst Intersection",SM_Idaho_Amherst,34.0381,-118.462
"City of Santa Monica, Idaho and Wellesley Intersection",SM_Idaho_Wellesley,34.0374,-118.463
"Clam Beach Co. Park-Clam Beach Co. Park, Humboldt",Clam Beach Co. Park,40.9877,-124.121
Clavey River,BM1-UCD-Tate,38.13088499,-119.9766405
Clavey River at Gods Bath,536TUO301,37.98615,-120.05279
"CLBBC-Laguna Beach, Orange",CLBBC,33.542,-117.785
"CLBEB-Laguna Beach, Orange",CLBEB,33.5512,-117.808
Clear Creek above confluence with Squirrel Creek,516NEV907,39.200533,-121.176367
Clear Creek at Lazy Valley Road,517NEV102,39.187604,-121.159576
Clear Creek at Long Valley Road,517NEV104,39.182981,-121.141377
Clear Creek at SHY 273 bridge,508SHA903,40.508943,-122.380028
Clear Creek at SHY 299 bridge,508SHA904,40.664371,-122.635034
Cliffs Marina,Cliffs Marina,-88,-88
"CNB45-Crystal Cove State Park, Orange",CNB45,33.5606,-117.822
"CNBBC-Newport Bay, Orange",CNBBC,33.6316,-117.885
"CNBBG-Newport Beach, Orange",CNBBG,33.59,-117.875
"CNBCC-Crystal Cove State Park, Orange",CNBCC,33.574,-117.84
"CNBCD-Newport Bay, Orange",CNBCD,33.6551,-117.846
"CNBCU-Crystal Cove State Park, Orange",CNBCU,33.576,-117.841
"CNBEU-Crystal Cove State Park, Orange",CNBEU,33.5619,-117.819
"CNBMC-Crystal Cove State Park, Orange",CNBMC,33.5643,-117.828
"CNBND-Newport Bay, Orange",CNBND,33.6173,-117.89
"CNBPM-Crystal Cove State Park, Orange",CNBPM,33.5821,-117.856
"CNBPP-Crystal Cove State Park, Orange",CNBPP,33.5827,-117.858
"CNBPW-Crystal Cove State Park, Orange",CNBPW,33.5817,-117.856
"CNBSA-Newport Bay, Orange",CNBSA,33.6528,-117.884
CNF picnic site,SLR-090,33.25382,-116.79317
Coachella Valley Stormchannel (Ave 52),719CVSC52,33.67242,-116.14923
Coachella Valley Stormwater Channel Outlet,719CVSCOT,33.52444,-116.07778
Cold Creek,404SMB062,34.07916,-118.70069
Cold Creek at Donner Creek,MTRCOLD00,39.32309,-120.22343
Cold Creek sec 22 upper,B10-UCD-Tate,41.38928428,-122.060035
"Coleman Beach, shoreline",310COL,35.37219668,-120.8603335
Colorado River at Imperial Dam Grates,715CRIDG1,32.88482,-114.46765
Colorado River at Nevada State Line,713CRNVBD,35.00241,-114.63324
Colorado River at Parker Dam,715CRPDDM,34.22033,-114.20387
Colorado River u/s Imperial Dam,715CRIDU1,32.894,-114.46837
Colusa Basin Drain @ Knights Landing Downstream,520CBDKLD,38.80003,-121.72423
Colusa Basin Drain @ Knights Landing Upstream,520CBDKLU,38.79923112,-121.7250358
Colusa Basin Drain above Knights Landing (SVWQC),520XCOLDR,38.8121,-121.7741
Colusa Basin Drain at Hwy 20,520COL006,39.19545,-122.06081
Community Church,202PES060,37.25449,-122.38314
"Conejo Road, at the end of Country Scenes",J25c2,32.8564,-116.976
Confluence Millberry Creek with Markleeville Creek,632MLBB01,38.695,-119.778
Constructed channel adjacent to Petaluma River just south of Corona Rd Bridge,206PET316,38.26047,-122.660021
Convict Ck at upstream edge of SNARL facility,CON.15,37.61408,-118.83585
Convict Ck below Convict Lake,CON.10,37.59513,-118.85102
Convict Ck below Hwy 395,CON.30,37.61898,-118.82023
Convict Ck east of Whitmore Ball Field,CON.40,37.62338,-118.81266
Convict Ck within SNARL facility,CON.20,37.61476,-118.8276
Coon Creek at Brewer Road,518XCCBRW,38.9353,-121.4084
Coon Creek at DLX Ranches,518XCCDLX,38.9353,-121.4084
Coon Creek at Pecho Valley Road,310COO,35.25475698,-120.88549
Copeland Creek at Commerce Drive-114CO0655,114CO0655,38.34322,-122.7121
Corcoran Lagoon at Live Oak Library,304-CORCO-22,36.57654,-121.59059
Corcoran Lagoon at small bridge on East Cliff Drive,304-CORCO-21,36.57761,-121.58905
Corn Cob Canyon Creek/Watsonville Creek,306-CORNC-31,36.873825,-121.745219
Corona S.D. NPDES - Ln K below Harrison & Sheridan Sts,801CRN040,33.8853,-117.569
Coronado_16_Otay River,CO_16,32.70003,-117.17182
Coronado_2_Otay River,CO_2,33,-117
Coronado_33a_Otay River,CO_33a,33,-117
Coronado_35_Otay River,CO_35,33,-117
Coronado_36_Otay River,CO_36,33,-117
Coronado_3a_Otay River,CO_3a,33,-117
Coronado_60_Otay River,CO_60,32.68665,-117.1934
Coronado_Site5960_Sweetwater River,COR_SITE5960,32.68661,-117.19342
Corral Canyon Creek Lower,404SMB024,34.03362,-118.73423
Corral Confluence,IV26-UCD-Tate,40.52551586,-123.3621881
Corral Creek CRR Lower,IV23-UCD-Tate,40.52971645,-123.3436976
Corral CRR Upper,IV17-UCD-Tate,40.53085738,-123.3417435
Corralitos Creek at Brown Valley Road,305COR2,36.98905805,-121.8013508
Corralitos Creek at Eureka Canyon and Las Colinas Roads,305-CORRA-22,37.00804,-121.80886
Corralitos Creek at Thicket Lane and Green Valley Road,305-CORRA-21,36.9392,-121.7704
CORTEZ SHORE_B03,B03_CORTEZ SHORE,32.57269,-117.13268
CORTEZ SURF_B03,B03_CORTEZ SURF,32.57268,-117.13287
Cosumes River at Twin Cities Road,531XCRTWN,38.2996,-121.3827
Cosumnes River @ Gold Beach Park,532ELD003,38.55916667,-120.8463889
Cosumnes River @ Hwy 49,532ELD004,38.55083333,-120.8497222
Cosumnes River @ Michigan Bar Rd.,531SAC003,38.50055556,-121.045
Cosumnes River above Gold Beach,532ELD005,38.5749893,-120.8432865
Cosumnes River at Happy Valley Cutoff,532ELD007,38.65736,-120.66836
Cosumnes River at Twin Cities Road,531SAC001,38.29083333,-121.3758333
Cosumnes River below Gold Beach,532ELD006,38.5559726,-120.8463872
Cottonwood Creek above confluence with Windy Gap Tributary,603CTNB03,36.4841,-118.177
Cottonwood Creek above exclosures and gathering meadow,JR9-UCD-Tate,37.99198569,-119.9427363
Cottonwood Creek at Horseshoe Meadow Road,603CTNB01,36.4595,-118.164
Cottonwood Creek at I5 bridge,508SHA900,40.377137,-122.2851
Cottonwood Creek at Thompson Meadow,COTC_TM,37.992813,-120.090132
Cottonwood Creek below Cottonwood,508TEH904,40.37811,-122.27376
Cottonwood Creek below exclosures and gathering meadow,JR10-UCD-Tate,37.98583622,-119.9379976
Cottonwood Creek below Golden Trout Camp,603CTNB02,36.4806,-118.177
Cottonwood Creek upstream of Cottonwood Meadow Site 1,COTC_CM_U1,37.99208333,-119.9427333
Cottonwood Creek upstream of Cottonwood Meadow Site 2,COTC_CM_U2,37.99241666,-119.94275
Country Club Dr,EDC-050,33.09908,-117.1305
County_CAR01_Carlsbad,CT_CAR01,33,-117
County_CAR05_Carlsbad,CT_CAR05,33,-117
County_CAR13_Carlsbad,CT_CAR13,33,-117
County_CAR14_Carlsbad,CT_CAR14,33,-117
County_MS4-CAR001_Carlsbad,CT_MS4-CAR001,33.12005,-117.20991
County_MS4-SDB001_San Diego Bay,CT_MS4-SDB001,32.667388,-117.021871
County_MS4-SDG001_San Dieguito River,CT_MS4-SDG001,33.00303,-117.11602
County_MS4-SDG-072_San Dieguito River,CT_MS4-SDG-072,33.01911,-117.10662
County_MS4-SDG-074_San Dieguito River,CT_MS4-SDG-074,33.01896,-117.1063
County_MS4-SDG-077_San Dieguito River,CT_MS4-SDG-077,33.01903,-117.10876
County_MS4-SDG-080_San Dieguito River,CT_MS4-SDG-080,33.00303,-117.11605
County_MS4-SDG-115_San Dieguito River,CT_MS4-SDG-115,33.04092,-117.15749
County_MS4-SDR001_San Diego River,CT_MS4-SDR001,32.86165,-116.94474
County_MS4-SDR-036_San Diego River,CT_MS4-SDR-036,32.8469,-116.87153
County_MS4-SDR-064_San Diego River,CT_MS4-SDR-064,32.86147,-116.94469
County_MS4-SDR-127_San Diego River,CT_MS4-SDR-127,32.84911,-116.88414
County_MS4-SDR-151_San Diego River,CT_MS4-SDR-151,33.00782,-116.82069
County_MS4-SDR-207_San Diego River,CT_MS4-SDR-207,32.83278,-116.90529
County_MS4-SLR002_San Luis Rey River,CT_MS4-SLR002,33.283702,-117.217033
County_MS4-SLR003_San Luis Rey River,CT_MS4-SLR003,33.317871,-117.163833
County_MS4-SLR-041_San Luis Rey River,CT_MS4-SLR-041,33.31787,-117.16385
County_MS4-SLR-095_San Luis Rey River,CT_MS4-SLR-095,33.22145,-117.09704
County_MS4-SLR-150_San Luis Rey River,CT_MS4-SLR-150,33.2837,-117.21707
County_MS4-SLR-152_San Luis Rey River,CT_MS4-SLR-152,33.33031,-117.15101
County_MS4-SLR-155_San Luis Rey River,CT_MS4-SLR-155,33.32802,-117.15234
County_MS4-SLR-156_San Luis Rey River,CT_MS4-SLR-156,33.3547,-117.23313
County_MS4-SMG001_Santa Margarita River,CT_MS4-SMG001,33.37477,-117.25327
County_MS4-SMG002_Santa Margarita River,CT_MS4-SMG002,33.37384,-117.25351
County_MS4-SMG-015_Santa Margarita River,CT_MS4-SMG-015,33.37476,-117.25261
County_MS4-SMG-062_Santa Margarita River,CT_MS4-SMG-062,33.37378,-117.25289
County_MS4-SWT-023_Sweetwater River,CT_MS4-SWT-023,32.65221,-117.04956
County_MS4-SWT-030_Sweetwater River,CT_MS4-SWT-030,32.72662,-116.9835
County_MS4-SWT-055_Sweetwater River,CT_MS4-SWT-055,32.74139,-117.01119
County_MS4-SWT-235_Sweetwater River,CT_MS4-SWT-235,32.75674,-116.91961
County_MS4-TIJ001_Tijuana River,CT_MS4-TIJ001,32.81982,-116.52626
County_MS4-TIJ002_Tijuana River,CT_MS4-TIJ002,32.60867,-116.47438
County_SDG08_San Dieguito River,CT_SDG08,33,-117
County_SDG09_San Dieguito River,CT_SDG09,33,-117
County_SDG12_San Dieguito River,CT_SDG12,33,-117
County_SDR01_San Diego River,CT_SDR01,33,-117
County_SDR02_San Diego River,CT_SDR02,33,-117
County_SDR05_San Diego River,CT_SDR05,33,-117
County_SDR08_San Diego River,CT_SDR08,33,-117
County_SDR13_San Diego River,CT_SDR13,33,-117
County_SDR15_San Diego River,CT_SDR15,33,-117
County_SDR34_San Diego River,CT_SDR34,33,-117
County_SLR04_San Luis Rey River,CT_SLR04,33,-117
County_SLR12_San Luis Rey River,CT_SLR12,33,-117
County_SLR15_San Luis Rey River,CT_SLR15,33,-117
County_SLR27_San Luis Rey River,CT_SLR27,33,-117
County_SLR30_San Luis Rey River,CT_SLR30,33,-117
County_SMG07_Santa Margarita River,CT_SMG07,33,-117
County_SWT02_Sweetwater River,CT_SWT02,33,-117
County_SWT08_Sweetwater River,CT_SWT08,33,-117
County_SWT11_Sweetwater River,CT_SWT11,33,-117
County_SWT18_Sweetwater River,CT_SWT18,33,-117
County_SWT21_Sweetwater River,CT_SWT21,33,-117
County_SWT23_Sweetwater River,CT_SWT23,33,-117
County_TIJ04_Tijuana River,CT_TIJ04,33,-116
Couser Canyon bridge,SLR-060,33.34057,-117.13072
Cow Creek above exclosure above Road 24N10 PFC,GV11-UCD-Tate,39.90236707,-120.5536053
Cow Creek above Hwy 108 at large disp camp,HC1-UCD-Tate,38.246989,-119.977133
Cow Creek above meadow,GV12-UCD-Tate,39.89175831,-120.5563217
Cow Creek at Dream Catcher Ln,508SHA905,40.50528,-122.23222
Cow Creek at Lake Davis,GV9-UCD-Tate,39.91462448,-120.5351765
Cow Creek at SHY 44 bridge,508SHA902,40.554932,-122.230904
Cow Creek downstream of Bull Run,CC_BR,38.249194,-119.963692
Cow Creek in exclosure,GV10-UCD-Tate,39.91377327,-120.5392079
Cowell Beach,Cowell,36.960806,-122.024308
Cowell Beach Site B,Cowell-B,36.961322,-122.023544
Cowell Beach Site BC,Cowell-BC,36.96147,-122.023339
Cowell Beach Site C,Cowell-C,36.961623,-122.023142
Cowell Beach Site CW,Cowell-CW,36.961759,-122.022927
Coyote Creek at Hellyer Park-205COY330,205COY330,37.29008,-121.81813
Coyote Creek Natural Bridges,534CYCANB,38.05578,-120.47697
"Coyote Point County Park-Coyote Point County Park, San Mateo",Coyote Point County Park,37.5893,-122.328
"Crab Cr, at Crab Flats Rd",628CRB001,34.25885,-117.08406
Crane Creek at Snyder Lane-114CR3673,114CR3673,38.35514,-122.68573
Crane Creek near Tuolumne River Rd,537MAR210,37.677961,-119.776747
Creek Side Mobile Home Park Swim Hole,517NEV101,39.20138,-121.178175
Crooked Creek 1 mile below Deep Springs Cow Camp,605CRKB01,37.48449,-118.09371
Crooked Creek above Deep Springs Cow Camp,605CRKB03,37.49528,-118.12099
Crooked Creek at Deep Springs Cow Camp,605CRKB02,37.49691,-118.10435
Cross Creak at Highway 99 (Previous),558CCHSP4,36.404583,-119.457117
Cross Creek  at Highway 99 (Revised),558CCRSP4,36.40726999,-119.45415
Cross Creek - Rd. 60 and Hwy 99,558CCR010,36.4043708,-119.4569677
"CSGR1-Seal Beach Surfside, Orange",CSGR1,33.7426,-118.115
"CSGRM-Seal Beach Surfside, Orange",CSGRM,33.7466,-118.113
"CSLSC-Salt Creek County Beach Park, Orange",CSLSC,33.4812,-117.725
"Cuesta Inlet, shoreline",310CIN,35.31985842,-120.8487846
Curtis Creek @ Algerine Road,536TUO209,37.91562,-120.38869
Cuyama River above Lockwood turnoff,312CUL,34.68779998,-119.3581
Cuyama River at Highway 33,312CAV,34.68818598,-119.357903
Cuyama River below Cottonwood Canyon,312CCC,35.04075898,-119.885702
Cuyama River below Twitchell @ White Rock Lane,312CUT,34.90551498,-120.302679
Cuyama River downstream Buckhorn Rd,312CUY,35.02177398,-120.22678
CV Creek Park at Castro Valley Library,204CVY120,37.69317,-122.0717
CV Creek Park at Castro Valley Library-CVY120,CVY120,37.69285,-122.07163
Dairy Creek above Cattle Enclosure,310DAU,35.35072,-120.70942
Dairy Creek lower limit,310DAL,35.33778,-120.72222
Dairy Creek within Cattle exclosure,310DAM,35.34608,-120.71526
Dairy Mart bridge,TJN-060,32.54764,-117.06555
Dan Blough Cr at Lake Davis,GV6-UCD-Tate,39.89351362,-120.5034211
Dan Blough Cr below holding pen,GV7-UCD-Tate,39.89010215,-120.5081526
Dani Creek at Hwy 1,308-DANIC-31,36.02034474,-121.546995
Date St.,OTY-020,32.58753,-117.04619
Davies Creek (TRWC),MTRDMCB,39.50594,-120.09774
Davis Creek downstream of parcel 108-010-05,WQ-25,39.448815,-123.341225
Davis Creek downstream of parcel 108-060-01,WQ-24,39.442056,-123.336544
Davis Creek upstream of parcel 108-070-08,WQ-23,39.427941,-123.332223
DC1_B03,B03_DC1,33.7677,-118.2503
De Anza Historical Park on Arroyo Court,204SMA060,37.56213,-122.32884
Deadfall Creek at Deadfall Lakes,BC1-UCD-Tate,41.3186684,-122.5037834
Deadman Ck at Hwy 395,OWE.15,37.74783,-118.98213
Dean Creek - downstream-D1,D1,37.52559298,-122.5164979
Dean Creek - upstream of 1-D2,D2,37.52657534,-122.5140735
Dean Creek - upstream of 2-D3,D3,37.5278675,-122.510364
Dean Creek - upstream of 3-D4,D4,37.53126339,-122.5035489
Dean Creek - upstream of 4-D5,D5,37.53522604,-122.492701
"Deep Cr, above Deep Cr Lake (nr town of Arrowbear Lake)",628DEP001,34.21949,-117.07175
"Deep Creek, south side of the Saddle Dike Embankment , east of the West Fork Mojave Dam.",628LDCB002,34.34217,-117.233387
Deep Slough at Green House Road,535MER577,37.22972222,-120.7283333
Deer Creek,558DER011,35.97729,-118.88051
Deer Creek - fountain springs,558DER030,35.9916806,-118.982707
Deer Creek - Mtn rd 120,558DER020,36.00734,-118.95238
Deer Creek at 280 Alhambra Avenue,202-DEERC-12,37.5046,-122.4776
Deer Creek at Hwy 99E near Vina,504TEH905,39.9471,-122.05318
Deer Creek at Road 120,558DCR120,35.5444,-119.1812
Deer Creek at Road 176,558DCR178,35.5649,-119.1049
Deer Creek at Road 248,558DCR248,35.9821,-119.0465
Deer Creek below S Pine Street,517NEV113,39.26133,-121.02033
Deer Creek near Willow Valley Christmas Tree Farm,517NEV112,39.26817,-121.00117
Del Dios Hwy at fruit stand,SGT-028,33.04036,-117.15764
Del Mar_S-01_Penasquitos,DM_S-01,33,-117
Del Mar_S-06_San Dieguito River,DM_S-06,33,-117
Del Mar_S-12_Penasquitos,DM_S-12,33,-117
Del Puerto Creek @ Deer Creek Campground,542STC527,37.4237,-121.37869
Del Puerto Creek @ Del Puerto Rd mi 13.6,542STC526,37.42447,-121.34285
Del Puerto Creek @ Del Puerto Rd mi 3.9,542STC525,37.47247,-121.24069
Del Puerto Creek @ Hwy 33,541STC523,37.51382,-121.15986
Del Puerto Creek @ Rogers,541STC524,37.49903,-121.17733
Del Puerto Creek at Vineyard Avenue,541STC516,37.52138889,-121.1486111
Del Puerto Creek near Cox Road (WSJRWC),541XDPCCR,37.5394,-121.1221
Delta Mendota Canal at DPWD,541XDMCDP,37.43677778,-121.1333472
Democrat,554KER050,35.53127,-118.66359
Denniston Creek at HMB airport,202-DENNI-11,37.50819,-122.48726
Devereux Slough at Golf Course culvert,315DEV,34.41757298,-119.872569
"DHS001-Malibu Beach, Los Angeles",DHS001,34.0367,-118.61
"DHS002-Malibu Beach, Los Angeles",DHS002,34.0376,-118.676
"DHS003-Malibu Beach, Los Angeles",DHS003,34.0314,-118.682
"DHS004B-Malibu Beach, Los Angeles",DHS004B,34.0331,-118.734
"DHS004-Malibu Beach, Los Angeles",DHS004,34.0333,-118.734
"DHS005B-Malibu Beach, Los Angeles",DHS005B,34.029,-118.753
"DHS005-Malibu Beach, Los Angeles",DHS005,34.0291,-118.754
"DHS006-Malibu Beach, Los Angeles",DHS006,34.0207,-118.786
"DHS007B-Malibu Beach, Los Angeles",DHS007B,34.0132,-118.821
"DHS007-Malibu Beach, Los Angeles",DHS007,34.0139,-118.819
"DHS008B-Malibu Beach, Los Angeles",DHS008B,34.0286,-118.842
"DHS008-Malibu Beach, Los Angeles",DHS008,34.0296,-118.842
"DHS009B-Malibu Beach, Los Angeles",DHS009B,34.0423,-118.916
"DHS009-Malibu Beach, Los Angeles",DHS009,34.0424,-118.916
"DHS010B-Malibu Beach, Los Angeles",DHS010B,34.0448,-118.933
"DHS010-Malibu Beach, Los Angeles",DHS010,34.0456,-118.933
"DHS101-Will Rogers State Beach, Los Angeles",DHS101,34.0393,-118.551
"DHS102B-Will Rogers State Beach, Los Angeles",DHS102B,34.0385,-118.545
"DHS102-Will Rogers State Beach, Los Angeles",DHS102,34.0383,-118.544
"DHS103B-Will Rogers State Beach, Los Angeles",DHS103B,34.0343,-118.536
"DHS103-Will Rogers State Beach, Los Angeles",DHS103,34.0348,-118.536
"DHS104B-Santa Monica State Beach, Los Angeles",DHS104B,34.0193,-118.51
"DHS104-Santa Monica State Beach, Los Angeles",DHS104,34.02,-118.51
"DHS105B-Santa Monica State Beach, Los Angeles",DHS105B,34.0144,-118.504
"DHS105-Santa Monica State Beach, Los Angeles",DHS105,34.0147,-118.504
"DHS106-Santa Monica State Beach, Los Angeles",DHS106,34.002,-118.49
"DHS107B-Venice City Beach, Los Angeles",DHS107B,33.9886,-118.478
"DHS107-Venice City Beach, Los Angeles",DHS107,33.9893,-118.479
"DHS108-Venice City Beach, Los Angeles",DHS108,33.9783,-118.467
"DHS109-Venice City Beach, Los Angeles",DHS109,33.9677,-118.46
"DHS110-Dockweiler State Beach, Los Angeles",DHS110,33.9406,-118.442
"DHS111-Dockweiler State Beach, Los Angeles",DHS111,33.9233,-118.433
"DHS112B-Dockweiler State Beach, Los Angeles",DHS112B,33.9153,-118.43
"DHS112-Dockweiler State Beach, Los Angeles",DHS112,33.9159,-118.429
"DHS113B-Hermosa Beach, Los Angeles",DHS115B,33.8523,-118.4
"DHS113B-Manhattan Beach, Los Angeles",DHS113B,33.894,-118.418
"DHS113-Manhattan Beach, Los Angeles",DHS113,33.8945,-118.418
"DHS114-Hermosa Beach, Los Angeles",DHS114,33.8715,-118.407
"DHS115-Hermosa Beach, Los Angeles",DHS115,33.8522,-118.399
"DHS116-Redondo Beach, Los Angeles",DHS116,33.8321,-118.391
"DHS117-Avalon Beach, Los Angeles",DHS117,33.343,-118.324
"DHS118-Avalon Beach, Los Angeles",DHS118,33.3433,-118.325
"DHS119-Avalon Beach, Los Angeles",DHS119,33.3438,-118.326
"DHS120-Avalon Beach, Los Angeles",DHS120,33.3442,-118.326
"DHS121-Avalon Beach, Los Angeles",DHS121,33.345,-118.327
dike near Mira Costa College,SEL-030,33.01283,-117.25986
"DILLON-Dillon Beach, Marin",DILLON,38.2494,-122.969
Discovery,Discovery,38.60229,-121.49793
Distillery -18in Discharge,205SAN040-DIS-18,37.5177,-122.513
Diverted stretch of Old House Creek,GC5-UCD-Tate,39.93014556,-120.5934421
"DMB-Del Monte Beach, Monterey",DMB,36.601,-121.887
Dodge Cr above Badenaugh Cr,SM5-UCD-Tate,39.62913224,-120.1846244
Dolphin Brook at end of Van Buren Street,309-DOLPH-31,36.60471279,-121.896113
Dominguez Channel - Alameda St,405DCAMDA,33.81581,-118.23164
Dominguez Channel - Anaheim,405DCANHM,33.7769,-118.24084
Dominguez Channel - Artesia/Vermont,405DCARVT,33.87342,-118.29085
Dominguez Channel - Artesia/Western,405DCARWN,33.87359,-118.30874
Dominguez Channel - Avalon,405DCAVLN,33.84128,-118.26313
Dominguez Channel - Main,405DCMAIN,33.85587,-118.27871
Dominguez Channel - Sepulveda,405DCSVDA,33.80662,-118.22752
Dominguez Channel - Wilmington,405DCWLTN,33.82468,-118.2425
Donner at Donner Lake outflow,MTRDONN03,39.32368,-120.2335
Donner at Highway 89,MTRDONN01,39.32075,-120.20624
Donner Creek at mouth,MTRDONN00,39.3164,-120.19959
"Donner Creek, above Truckee River",635DONB01,39.31641,-120.20071
"Doran Park-Doran Regional Park Beach, Sonoma",Doran Park,38.3134,-123.043
Dos Pueblos Canyon Creek at Highway 101,315DOS,34.44763298,-119.958814
Doud Creek - Reference Site Receiving Water,203LOB030-REF,36.4224,-121.913
Doud Creek at trail crossing,308-DOUD-31,36.42183818,-121.9133748
Douglas Ave Bridge,SLR-030,33.23977,-117.32243
Downstream of pervious paver median strip,PM-DS,33.19969,-117.24194
"DRAKES BEACH-Drakes Beach, Marin",DRAKES BEACH,38.0273,-122.961
"DRAKES ESTERO-DRAKES ESTERO, Marin",DRAKES ESTERO,38.0828,-122.933
Dry Creek @ La Loma Rd.,535STC206,37.64354,-120.98452
